### NCCL_P2P_LEVEL=SYS (real P2P)
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 213291 on gpu-node-24g-modded device  0 [0000:01:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid 213291 on gpu-node-24g-modded device  1 [0000:81:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid 213291 on gpu-node-24g-modded device  2 [0000:c1:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid 213291 on gpu-node-24g-modded device  3 [0000:c2:00] NVIDIA GeForce RTX 4090
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    23.66    0.00    0.00       0    23.20    0.00    0.00       0
          16             4     float     sum      -1    23.03    0.00    0.00       0    23.16    0.00    0.00       0
          32             8     float     sum      -1    23.35    0.00    0.00       0    22.96    0.00    0.00       0
          64            16     float     sum      -1    23.15    0.00    0.00       0    23.65    0.00    0.00       0
         128            32     float     sum      -1    23.23    0.01    0.01       0    23.90    0.01    0.01       0
         256            64     float     sum      -1    23.34    0.01    0.02       0    23.45    0.01    0.02       0
         512           128     float     sum      -1    23.57    0.02    0.03       0    23.48    0.02    0.03       0
        1024           256     float     sum      -1    23.71    0.04    0.06       0    23.28    0.04    0.07       0
        2048           512     float     sum      -1    23.35    0.09    0.13       0    23.69    0.09    0.13       0
        4096          1024     float     sum      -1    23.27    0.18    0.26       0    24.07    0.17    0.26       0
        8192          2048     float     sum      -1    23.30    0.35    0.53       0    23.35    0.35    0.53       0
       16384          4096     float     sum      -1    23.61    0.69    1.04       0    23.91    0.69    1.03       0
       32768          8192     float     sum      -1    24.38    1.34    2.02       0    24.30    1.35    2.02       0
       65536         16384     float     sum      -1    33.31    1.97    2.95       0    32.92    1.99    2.99       0
      131072         32768     float     sum      -1    48.54    2.70    4.05       0    49.77    2.63    3.95       0
      262144         65536     float     sum      -1    73.63    3.56    5.34       0    79.18    3.31    4.97       0
      524288        131072     float     sum      -1    92.04    5.70    8.54       0    94.24    5.56    8.34       0
     1048576        262144     float     sum      -1   128.02    8.19   12.29       0   141.76    7.40   11.10       0
     2097152        524288     float     sum      -1   195.21   10.74   16.11       0   198.78   10.55   15.82       0
     4194304       1048576     float     sum      -1   322.38   13.01   19.52       0   309.95   13.53   20.30       0
     8388608       2097152     float     sum      -1   563.04   14.90   22.35       0   545.68   15.37   23.06       0
    16777216       4194304     float     sum      -1  1040.79   16.12   24.18       0  1034.44   16.22   24.33       0
    33554432       8388608     float     sum      -1  2038.38   16.46   24.69       0  2030.37   16.53   24.79       0
    67108864      16777216     float     sum      -1  4055.98   16.55   24.82       0  4049.39   16.57   24.86       0
   134217728      33554432     float     sum      -1  8080.03   16.61   24.92       0  8079.36   16.61   24.92       0
   268435456      67108864     float     sum      -1  16128.4   16.64   24.97       0  16131.7   16.64   24.96       0
   536870912     134217728     float     sum      -1  32199.2   16.67   25.01       0  32196.6   16.67   25.01       0
  1073741824     268435456     float     sum      -1  64215.7   16.72   25.08       0  64176.8   16.73   25.10       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 9.59831 
#
# Collective test concluded: all_reduce_perf


### default P2P_LEVEL (baseline / SHM fallback)
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22501
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 213337 on gpu-node-24g-modded device  0 [0000:01:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid 213337 on gpu-node-24g-modded device  1 [0000:81:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid 213337 on gpu-node-24g-modded device  2 [0000:c1:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid 213337 on gpu-node-24g-modded device  3 [0000:c2:00] NVIDIA GeForce RTX 4090
NCCL version 2.25.1+cuda12.8
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    22.70    0.00    0.00       0    22.33    0.00    0.00       0
          16             4     float     sum      -1    23.02    0.00    0.00       0    23.06    0.00    0.00       0
          32             8     float     sum      -1    23.18    0.00    0.00       0    23.68    0.00    0.00       0
          64            16     float     sum      -1    24.05    0.00    0.00       0    24.28    0.00    0.00       0
         128            32     float     sum      -1    24.36    0.01    0.01       0    24.07    0.01    0.01       0
         256            64     float     sum      -1    24.33    0.01    0.02       0    23.96    0.01    0.02       0
         512           128     float     sum      -1    24.02    0.02    0.03       0    23.71    0.02    0.03       0
        1024           256     float     sum      -1    24.08    0.04    0.06       0    23.98    0.04    0.06       0
        2048           512     float     sum      -1    24.15    0.08    0.13       0    24.08    0.09    0.13       0
        4096          1024     float     sum      -1    24.07    0.17    0.26       0    24.02    0.17    0.26       0
        8192          2048     float     sum      -1    24.08    0.34    0.51       0    24.05    0.34    0.51       0
       16384          4096     float     sum      -1    24.31    0.67    1.01       0    23.95    0.68    1.03       0
       32768          8192     float     sum      -1    28.72    1.14    1.71       0    29.35    1.12    1.67       0
