### all_gather_perf  NCCL_P2P_LEVEL=SYS
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: all_gather_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid     96 on 81e86d6fb9c9 device  0 [0000:01:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid     96 on 81e86d6fb9c9 device  1 [0000:81:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid     96 on 81e86d6fb9c9 device  2 [0000:c1:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid     96 on 81e86d6fb9c9 device  3 [0000:c2:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.45    0.00    0.00       0     0.43    0.00    0.00       0
           0             0     float    none      -1     0.44    0.00    0.00       0     0.44    0.00    0.00       0
           0             0     float    none      -1     0.44    0.00    0.00       0     0.44    0.00    0.00       0
          64             4     float    none      -1    24.13    0.00    0.00       0    23.58    0.00    0.00       0
         128             8     float    none      -1    24.15    0.01    0.00       0    24.03    0.01    0.00       0
         256            16     float    none      -1    24.00    0.01    0.01       0    24.33    0.01    0.01       0
         512            32     float    none      -1    24.43    0.02    0.02       0    24.97    0.02    0.02       0
        1024            64     float    none      -1    24.02    0.04    0.03       0    24.64    0.04    0.03       0
        2048           128     float    none      -1    24.56    0.08    0.06       0    24.62    0.08    0.06       0
        4096           256     float    none      -1    24.01    0.17    0.13       0    24.35    0.17    0.13       0
        8192           512     float    none      -1    25.03    0.33    0.25       0    24.07    0.34    0.26       0
       16384          1024     float    none      -1    24.72    0.66    0.50       0    24.54    0.67    0.50       0
       32768          2048     float    none      -1    24.82    1.32    0.99       0    25.15    1.30    0.98       0
