### all_gather_perf  NCCL_P2P_LEVEL=SYS
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid    258 on 488137c8fec6 device  0 [0000:17:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid    258 on 488137c8fec6 device  1 [0000:6f:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid    258 on 488137c8fec6 device  2 [0000:9b:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid    258 on 488137c8fec6 device  3 [0000:c7:00] NVIDIA GeForce RTX 4090
#  Rank  4 Group  0 Pid    258 on 488137c8fec6 device  4 [0001:17:00] NVIDIA GeForce RTX 4090
#  Rank  5 Group  0 Pid    258 on 488137c8fec6 device  5 [0001:6f:00] NVIDIA GeForce RTX 4090
#  Rank  6 Group  0 Pid    258 on 488137c8fec6 device  6 [0001:9b:00] NVIDIA GeForce RTX 4090
#  Rank  7 Group  0 Pid    258 on 488137c8fec6 device  7 [0001:c7:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.68    0.00    0.00       0     0.81    0.00    0.00       0
           0             0     float    none      -1     0.63    0.00    0.00       0     0.65    0.00    0.00       0
           0             0     float    none      -1     0.62    0.00    0.00       0     0.63    0.00    0.00       0
           0             0     float    none      -1     0.62    0.00    0.00       0     0.65    0.00    0.00       0
         128             4     float    none      -1    39.15    0.00    0.00       0    38.44    0.00    0.00       0
         256             8     float    none      -1    38.21    0.01    0.01       0    37.13    0.01    0.01       0
         512            16     float    none      -1    37.68    0.01    0.01       0    37.72    0.01    0.01       0
        1024            32     float    none      -1    37.11    0.03    0.02       0    37.64    0.03    0.02       0
        2048            64     float    none      -1    37.96    0.05    0.05       0    37.49    0.05    0.05       0
        4096           128     float    none      -1    37.24    0.11    0.10       0    37.51    0.11    0.10       0
        8192           256     float    none      -1    37.57    0.22    0.19       0    37.22    0.22    0.19       0
       16384           512     float    none      -1    37.47    0.44    0.38       0    38.16    0.43    0.38       0
       32768          1024     float    none      -1    37.52    0.87    0.76       0    37.32    0.88    0.77       0
       65536          2048     float    none      -1    38.60    1.70    1.49       0    38.60    1.70    1.49       0
      131072          4096     float    none      -1    38.95    3.37    2.94       0    38.86    3.37    2.95       0
      262144          8192     float    none      -1    40.16    6.53    5.71       0    39.73    6.60    5.77       0
      524288         16384     float    none      -1    53.97    9.71    8.50       0    54.08    9.70    8.48       0
     1048576         32768     float    none      -1    76.51   13.70   11.99       0    76.51   13.71   11.99       0
     2097152         65536     float    none      -1   124.85   16.80   14.70       0   122.57   17.11   14.97       0
     4194304        131072     float    none      -1   217.81   19.26   16.85       0   217.01   19.33   16.91       0
     8388608        262144     float    none      -1   384.76   21.80   19.08       0   383.85   21.85   19.12       0
    16777216        524288     float    none      -1   745.78   22.50   19.68       0   744.89   22.52   19.71       0
    33554432       1048576     float    none      -1  1474.75   22.75   19.91       0  1473.81   22.77   19.92       0
    67108864       2097152     float    none      -1  2937.21   22.85   19.99       0  2935.27   22.86   20.01       0
   134217728       4194304     float    none      -1  5852.11   22.93   20.07       0  5847.24   22.95   20.08       0
   268435456       8388608     float    none      -1  11687.0   22.97   20.10       0  11660.3   23.02   20.14       0
   536870912      16777216     float    none      -1  23347.9   22.99   20.12       0  23305.7   23.04   20.16       0
  1073741824      33554432     float    none      -1  46683.2   23.00   20.13       0  46595.0   23.04   20.16       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 7.96743 
#
# Collective test concluded: all_gather_perf


### reduce_scatter_perf  NCCL_P2P_LEVEL=SYS
