### NCCL_P2P_LEVEL=SYS (real P2P)
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid    112 on d5b3a2b13ebf device  0 [0000:01:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid    112 on d5b3a2b13ebf device  1 [0000:81:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid    112 on d5b3a2b13ebf device  2 [0000:82:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid    112 on d5b3a2b13ebf device  3 [0000:c2:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    23.62    0.00    0.00       0    23.63    0.00    0.00       0
          16             4     float     sum      -1    23.32    0.00    0.00       0    22.81    0.00    0.00       0
          32             8     float     sum      -1    23.35    0.00    0.00       0    23.39    0.00    0.00       0
          64            16     float     sum      -1    23.31    0.00    0.00       0    24.89    0.00    0.00       0
         128            32     float     sum      -1    24.45    0.01    0.01       0    25.31    0.01    0.01       0
         256            64     float     sum      -1    24.66    0.01    0.02       0    24.79    0.01    0.02       0
         512           128     float     sum      -1    24.80    0.02    0.03       0    25.21    0.02    0.03       0
        1024           256     float     sum      -1    24.46    0.04    0.06       0    25.01    0.04    0.06       0
        2048           512     float     sum      -1    24.51    0.08    0.13       0    25.36    0.08    0.12       0
        4096          1024     float     sum      -1    24.54    0.17    0.25       0    24.71    0.17    0.25       0
        8192          2048     float     sum      -1    26.09    0.31    0.47       0    24.39    0.34    0.50       0
       16384          4096     float     sum      -1    25.42    0.64    0.97       0    24.90    0.66    0.99       0
       32768          8192     float     sum      -1    25.49    1.29    1.93       0    26.29    1.25    1.87       0
       65536         16384     float     sum      -1    34.35    1.91    2.86       0    32.74    2.00    3.00       0
      131072         32768     float     sum      -1    47.83    2.74    4.11       0    48.64    2.69    4.04       0
      262144         65536     float     sum      -1    72.25    3.63    5.44       0    75.51    3.47    5.21       0
      524288        131072     float     sum      -1   101.92    5.14    7.72       0    96.77    5.42    8.13       0
     1048576        262144     float     sum      -1   133.04    7.88   11.82       0   135.41    7.74   11.62       0
     2097152        524288     float     sum      -1   218.16    9.61   14.42       0   191.48   10.95   16.43       0
     4194304       1048576     float     sum      -1   318.35   13.18   19.76       0   307.83   13.63   20.44       0
     8388608       2097152     float     sum      -1   581.57   14.42   21.64       0   552.43   15.19   22.78       0
    16777216       4194304     float     sum      -1  1068.34   15.70   23.56       0  1054.00   15.92   23.88       0
    33554432       8388608     float     sum      -1  2070.43   16.21   24.31       0  2075.09   16.17   24.26       0
    67108864      16777216     float     sum      -1  4100.73   16.37   24.55       0  4112.85   16.32   24.48       0
   134217728      33554432     float     sum      -1  8191.75   16.38   24.58       0  8207.44   16.35   24.53       0
   268435456      67108864     float     sum      -1  16343.9   16.42   24.64       0  16288.9   16.48   24.72       0
   536870912     134217728     float     sum      -1  32511.6   16.51   24.77       0  32525.8   16.51   24.76       0
  1073741824     268435456     float     sum      -1  64907.2   16.54   24.81       0  64757.9   16.58   24.87       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 9.4612 
#
# Collective test concluded: all_reduce_perf


### default P2P_LEVEL (baseline / SHM fallback)
# nccl-tests version 2.17.6 nccl-headers=22501 nccl-library=22703
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid    141 on d5b3a2b13ebf device  0 [0000:01:00] NVIDIA GeForce RTX 4090
#  Rank  1 Group  0 Pid    141 on d5b3a2b13ebf device  1 [0000:81:00] NVIDIA GeForce RTX 4090
#  Rank  2 Group  0 Pid    141 on d5b3a2b13ebf device  2 [0000:82:00] NVIDIA GeForce RTX 4090
#  Rank  3 Group  0 Pid    141 on d5b3a2b13ebf device  3 [0000:c2:00] NVIDIA GeForce RTX 4090
NCCL version 2.27.3+cuda12.9
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    24.75    0.00    0.00       0    23.53    0.00    0.00       0
          16             4     float     sum      -1    24.41    0.00    0.00       0    24.78    0.00    0.00       0
          32             8     float     sum      -1    24.54    0.00    0.00       0    24.83    0.00    0.00       0
          64            16     float     sum      -1    24.83    0.00    0.00       0    24.93    0.00    0.00       0
         128            32     float     sum      -1    24.88    0.01    0.01       0    25.32    0.01    0.01       0
         256            64     float     sum      -1    24.41    0.01    0.02       0    25.05    0.01    0.02       0
         512           128     float     sum      -1    24.60    0.02    0.03       0    24.34    0.02    0.03       0
        1024           256     float     sum      -1    24.97    0.04    0.06       0    24.78    0.04    0.06       0
        2048           512     float     sum      -1    25.02    0.08    0.12       0    24.40    0.08    0.13       0
        4096          1024     float     sum      -1    25.30    0.16    0.24       0    24.93    0.16    0.25       0
